DestPlace;DestNo;Date;Time;Minutes;Amt1;CustNo;UserID;CallGroup
;1865724984;22.5;0:03;1:25;0,098;SBV022714;800252099;FRE
;1512203674;5.5;0:06;1:39;0,114;SBV022714;800252099;FRE
;1332518169;15.5;0:20;13:59;0,016;SBV022714;800252099;FRE
;1302726565;14.5;0:25;16:59;0,047;SBV022714;800252048;FRE
;2476375492;1.5;0:32;2:59;0,003;SBV022714;800243225;FRE
;1214402314;24.5;0:33;2:59;0,059;SBV022714;800243093;FRE
;2476375492;1.5;0:33;1:59;0,002;SBV022714;800243225;FRE
;1270214753;1.5;0:34;3:14;0,224;SBV010901;8009806000;FRE
;1215239794;9.5;1:02;1:36;0,111;SBV022714;800243088;FRE
;1214724425;15.5;1:04;1:43;0,119;SBV022714;800243088;FRE
;1215882149;17.5;1:24;2:58;0,206;SBV022714;800252099;FRE
;1484862426;20.5;1:34;1:03;0,072;SBV022714;800252048;FRE
;1614422835;5.5;2:30;0:59;0,001;SBV022714;800252099;FRE
;1614422835;5.5;2:30;23:59;0,055;SBV022714;800252099;FRE
;1519283181;4.5;2:36;1:03;0,072;SBV022714;800243189;FRE
;1614422835;5.5;2:43;2:59;0,207;SBV022714;800252099;FRE
;1484488700;16.5;4:02;1:59;0,03;SBV022714;800243088;FRE
;1212471364;24.5;4:11;4:59;0,005;SBV022714;800243088;FRE
;1322410071;26.5;4:58;1:59;0,057;SBV022714;800243189;FRE
;1452551687;20.5;5:05;11:59;0,013;SBV022714;800252048;FRE
Acc Telecom;8702647576;9.5;5:20;8:59;0,039;SBV061205;1473687690;Iol
Acc Telecom;8702647576;30.4;5:25;8:59;0,039;SBV061205;1473687690;Iol
Acc Telecom;8702647576;24.4;5:28;8:59;0,039;SBV061205;1473687690;Iol
Acc Telecom;8702647576;18.4;5:32;8:59;0,039;SBV061205;1473687690;Iol
Acc Telecom;8702647576;12.4;5:35;8:59;0,039;SBV061205;1473687690;Iol
Acc Telecom;8702647576;11.4;5:36;8:59;0,039;SBV061205;1473687690;Iol
;1274782084;19.5;5:43;12:59;0,015;SBV022714;800252048;FRE
Acc Telecom;8702647576;12.4;5:47;1:09;0,043;SBV061205;1473687679;Iol
Acc Telecom;8702647576;18.4;5:47;1:09;0,043;SBV061205;1473687679;Iol
Acc Telecom;8702647576;24.4;5:47;1:09;0,043;SBV061205;1473687679;Iol
Acc Telecom;8702647576;30.4;5:47;1:09;0,043;SBV061205;1473687679;Iol
